model,roc_auc,pr_auc,accuracy,sensitivity,specificity,balanced_accuracy,brier,roc_auc_sd,pr_auc_sd,accuracy_sd,sensitivity_sd,specificity_sd,balanced_accuracy_sd,brier_sd,acc@sens90,spec@sens90,thr@sens90
LightGBM,0.6850147667762757,0.7874528343885023,0.7478491065519524,0.9086956521739131,0.398109243697479,0.653402447935696,0.2004935264882347,0.007752150187823622,0.006428064565360745,0.004885778643359802,0.006780516351506372,0.0023488109007350896,0.0038604243401899763,0.0034527018622556045,0.684976836532098,0.0,0.00461
XGBoost,0.6745978463849307,0.774937896854726,0.7559563203176703,0.9202898550724636,0.39863445378151263,0.6594621544269882,0.19016592520477515,0.005749475887859511,0.0022484536966211614,0.004035840806634845,0.006882998477669077,0.004784891585685037,0.002837787597266033,0.00282905911316748,0.685638649900728,0.0021008403361344537,0.01526
PyTorch_MLP,0.6559805443916698,0.7679691695578325,0.6710787557908671,0.7514492753623189,0.4963235294117647,0.6238864023870418,0.21929822818859374,0.00826161999007227,0.005807829780990721,0.007516754924950735,0.012399094461556156,0.007913087801113106,0.005364661111900525,0.000627114421667129,0.684976836532098,0.0,0.0
LogisticRegression,0.6512237141233305,0.766466993321935,0.7526472534745201,0.9560386473429952,0.31039915966386555,0.6332189035034304,0.19142540208323583,0.002988045753966269,0.0033494127636539296,0.002357347261544529,0.001991838466481965,0.006011304171354827,0.0031863242017118685,0.0006227346493225909,0.685638649900728,0.0021008403361344537,0.033
