bin,n,predicted,observed
0,26100,0.0,0.00019157088122605365
1,6072,0.00057623817466936,0.0006587615283267457
2,4397,0.001026780419786631,0.00022742779167614282
3,6917,0.0031713944710142577,0.0014457134595923088
4,5456,0.014620626879343374,0.0076979472140762464
5,5876,0.10864354132121234,0.08339006126616746
6,5375,0.6369544323687322,0.6137674418604652
7,5807,0.9937984623085777,0.9913897020836921
