year,month,anom
1972,1,-0.68
1972,2,-0.2
1972,3,-0.16
1972,4,0.2
1972,5,0.23
1972,6,0.41
1972,7,0.64
1972,8,0.73
1972,9,0.76
1972,10,1.12
1972,11,1.3
1972,12,1.26
1973,1,1.09
1973,2,0.91
1973,3,0.39
1973,4,-0.39
1973,5,-0.64
1973,6,-0.92
1973,7,-1.13
1973,8,-1.24
1973,9,-1.43
1973,10,-1.6
1973,11,-2.05
1973,12,-2.18
1974,1,-2.04
1974,2,-1.6
1974,3,-1.38
1974,4,-1.11
1974,5,-1.08
1974,6,-0.61
1974,7,-0.96
1974,8,-0.57
1974,9,-0.67
1974,10,-1.08
1974,11,-1.11
1974,12,-0.97
1975,1,-0.58
1975,2,-0.57
1975,3,-0.87
1975,4,-0.75
1975,5,-0.98
1975,6,-1.33
1975,7,-1.21
1975,8,-1.47
1975,9,-1.69
1975,10,-1.72
1975,11,-1.51
1975,12,-1.97
1976,1,-1.74
1976,2,-1.04
1976,3,-0.83
1976,4,-0.59
1976,5,-0.61
1976,6,-0.3
1976,7,-0.1
1976,8,-0.01
1976,9,0.16
1976,10,0.52
1976,11,0.66
1976,12,0.36
1977,1,0.57
1977,2,0.25
1977,3,0.18
1977,4,-0.23
1977,5,-0.16
1977,6,0.23
1977,7,0.37
1977,8,-0.01
1977,9,0.26
1977,10,0.59
1977,11,0.61
1977,12,0.61
1978,1,0.52
1978,2,0.31
1978,3,0.02
1978,4,-0.49
1978,5,-0.35
1978,6,-0.47
1978,7,-0.33
1978,8,-0.77
1978,9,-0.45
1978,10,-0.44
1978,11,-0.2
1978,12,0.09
1979,1,0.05
1979,2,0.05
1979,3,0.07
1979,4,0.05
1979,5,-0.06
1979,6,-0.05
1979,7,-0.13
1979,8,-0.2
1979,9,0.17
1979,10,0.04
1979,11,0.33
1979,12,0.48
1980,1,0.44
1980,2,0.35
1980,3,0.18
1980,4,0.13
1980,5,0.23
1980,6,0.3
1980,7,0.1
1980,8,-0.35
1980,9,-0.36
1980,10,-0.2
1980,11,0.08
1980,12,0.1
1981,1,-0.45
1981,2,-0.42
1981,3,-0.11
1981,4,-0.57
1981,5,-0.29
1981,6,-0.33
1981,7,-0.55
1981,8,-0.39
1981,9,-0.22
1981,10,-0.16
1981,11,-0.42
1981,12,-0.12
1982,1,0.07
1982,2,-0.13
1982,3,0.03
1982,4,0.26
1982,5,0.53
1982,6,0.8
1982,7,0.34
1982,8,0.44
1982,9,1.04
1982,10,1.48
1982,11,1.4
1982,12,1.61
1983,1,1.68
1983,2,1.48
1983,3,1.15
1983,4,0.66
1983,5,0.68
1983,6,0.41
1983,7,-0.13
1983,8,-0.23
1983,9,-0.51
1983,10,-1.08
1983,11,-1.04
1983,12,-0.77
1984,1,-0.79
1984,2,-0.47
1984,3,-0.6
1984,4,-0.66
1984,5,-0.69
1984,6,-0.82
1984,7,-0.54
1984,8,-0.46
1984,9,-0.41
1984,10,-0.74
1984,11,-0.97
1984,12,-1.21
1985,1,-0.8
1985,2,-0.83
1985,3,-0.88
1985,4,-1.01
1985,5,-0.88
1985,6,-0.85
1985,7,-0.49
1985,8,-0.46
1985,9,-0.47
1985,10,-0.4
1985,11,-0.29
1985,12,-0.25
1986,1,-0.5
1986,2,-0.32
1986,3,-0.3
1986,4,-0.29
1986,5,-0.22
1986,6,-0.06
1986,7,0.13
1986,8,0.33
1986,9,0.51
1986,10,0.52
1986,11,1.01
1986,12,0.94
1987,1,0.84
1987,2,0.9
1987,3,0.87
1987,4,0.59
1987,5,0.63
1987,6,0.84
1987,7,0.98
1987,8,1.05
1987,9,1.18
1987,10,1.15
1987,11,1.08
1987,12,0.89
1988,1,0.74
1988,2,0.15
1988,3,0.1
1988,4,-0.45
1988,5,-1.09
1988,6,-1.35
1988,7,-1.28
1988,8,-1.1
1988,9,-1.02
1988,10,-1.72
1988,11,-1.89
1988,12,-1.75
1989,1,-1.81
1989,2,-1.36
1989,3,-1.11
1989,4,-1.04
1989,5,-0.72
1989,6,-0.57
1989,7,-0.52
1989,8,-0.73
1989,9,-0.38
1989,10,-0.35
1989,11,-0.45
1989,12,0.07
1990,1,-0.01
1990,2,0.35
1990,3,0.12
1990,4,0.27
1990,5,0.15
1990,6,0.02
1990,7,0.27
1990,8,0.22
1990,9,0.22
1990,10,0.31
1990,11,0.22
1990,12,0.37
1991,1,0.58
1991,2,0.41
1991,3,0.24
1991,4,0.45
1991,5,0.45
1991,6,0.59
1991,7,0.7
1991,8,0.73
1991,9,0.42
1991,10,0.89
1991,11,1.06
1991,12,1.27
1992,1,1.34
1992,2,1.32
1992,3,1.19
1992,4,1.17
1992,5,0.97
1992,6,0.57
1992,7,0.37
1992,8,0.09
1992,9,-0.03
1992,10,-0.17
1992,11,-0.06
1992,12,-0.0
1993,1,0.35
1993,2,0.43
1993,3,0.36
1993,4,0.63
1993,5,0.86
1993,6,0.39
1993,7,0.2
1993,8,0.26
1993,9,0.33
1993,10,0.22
1993,11,0.29
1993,12,0.34
1994,1,0.22
1994,2,-0.09
1994,3,0.13
1994,4,0.21
1994,5,0.25
1994,6,0.32
1994,7,0.38
1994,8,0.51
1994,9,0.38
1994,10,0.78
1994,11,0.97
1994,12,1.08
1995,1,0.84
1995,2,0.8
1995,3,0.52
1995,4,0.32
1995,5,0.12
1995,6,0.02
1995,7,-0.03
1995,8,-0.49
1995,9,-0.63
1995,10,-0.75
1995,11,-0.88
1995,12,-0.77
1996,1,-0.68
1996,2,-0.65
1996,3,-0.5
1996,4,-0.31
1996,5,-0.25
1996,6,-0.26
1996,7,-0.31
1996,8,-0.2
1996,9,-0.33
