condition,roc_auc,pr_auc,accuracy,recall,precision,f1,brier,n_test,test_prevalence,trivial_accuracy,n_features
A_historical_only,0.9901067010578489,0.9546971561755394,0.9648214821482148,0.8811297330850404,0.8768660558015031,0.87899272408277,0.03567033027254171,66660,0.145004500450045,0.854995499549955,15
B_environmental_only,0.8828339610325286,0.5948262681108163,0.8697419741974197,0.5985930064142355,0.546416092171121,0.571315724512466,0.09367275377688117,66660,0.145004500450045,0.854995499549955,43
C_historical_plus_environment,0.9916503511199747,0.9608055702595955,0.9664716471647165,0.9058555762466377,0.8685646265251463,0.8868182508735504,0.026737918892126976,66660,0.145004500450045,0.854995499549955,58
D_persistence_baseline,0.9213483098953842,0.757719304354606,0.9587908790879088,0.8686116283881647,0.8504000810290692,0.8594093863554941,0.04120912091209121,66660,0.145004500450045,0.854995499549955,1
