delay_weeks,n_test,effective_lead_days,pr_auc,accuracy,recall
0,66660,14,0.9608055702595955,0.9666216621662166,0.9003724394785847
1,66660,21,0.9393690584392549,0.9572307230723073,0.8739913097454997
2,66660,28,0.9160028356508098,0.9500600060006,0.8379888268156425
