dataset,n,prevalence,max_single_feature_auc,leaky_features,disjoint_features,verdict,real_auc,null_mean,null_sd,z
hematology_1523,1511,0.684976836532098,0.624306824178947,[],[],PASS,0.6773129541671741,0.48310041407867493,0.015247814512809916,12.737073888545686
vitals_1003,989,0.6764408493427705,0.9997987591785448,"['WBC Count', 'Platelet Count']",[],REJECT,0.9999906576980568,0.5027168581838566,0.02583239464516984,19.250007842659716
bd_structured,1018,0.6846758349705304,0.9926252698480805,"['WBC', 'Platelet Count']",[],REJECT,0.9884596646956024,0.48675062685206294,0.030676118640603153,16.355036428222487
bd_comprehensive,1000,0.533,1.0,"['Body_Temperature', 'IgG', 'Platelet_Count', 'WBC_Count', 'Fever_Duration', 'NS1']","['IgG', 'Body_Temperature']",REJECT,1.0,0.49645053854590593,0.025712319345487688,19.583976641238436
