condition,n_test,n_positive,test_prevalence,pr_auc,accuracy,recall,precision,held_states,lift_over_prevalence
state_fold_0,5900,138,0.0233898305084745,0.6019143955098637,0.9755932203389832,0.6666666666666666,0.4842105263157895,"['AM', 'AP', 'PE', 'RO', 'RR', 'TO']",25.73402125730585
state_fold_1,10200,599,0.0587254901960784,0.8916115415784216,0.9755882352941176,0.7913188647746243,0.7926421404682275,"['AL', 'BA', 'ES', 'MA', 'MS', 'RN']",15.182700708013197
state_fold_2,14000,1086,0.0775714285714285,0.923161204987526,0.9731428571428572,0.8950276243093923,0.7876823338735819,"['DF', 'MT', 'PA', 'RJ', 'RS']",11.900789014572169
state_fold_3,15100,2936,0.1944370860927152,0.971456735612466,0.963112582781457,0.9117847411444142,0.8998319327731092,"['AC', 'MG', 'PB', 'PR', 'SC']",4.9962522846553945
state_fold_4,20800,4849,0.233125,0.9723699412860624,0.956778846153846,0.9107032377809856,0.9045473166734944,"['CE', 'GO', 'PI', 'SE', 'SP']",4.1710238768302945
