condition,threshold,roc_auc,pr_auc,accuracy,recall,precision,f1,specificity,brier,tp,fp,fn,tn,threshold_name,outbreak_inc,test_prevalence,trivial_accuracy
1_persistence,0.5,0.8298922105373718,0.47636953770913243,0.9401488191523779,0.6962962962962963,0.6460481099656358,0.6702317290552585,0.9634881247784474,0.05985118084762213,188,103,82,2718,srilanka_calibrated,9.9,0.08735037204788094,0.912649627952119
2_brazil_zeroshot,0.0003342569375146094,0.8759383985190436,0.4488865645754239,0.8864445163377548,0.5111111111111111,0.3865546218487395,0.44019138755980863,0.9223679546260192,0.08391874651188894,138,219,132,2602,srilanka_calibrated,9.9,0.08735037204788094,0.912649627952119
3_srilanka_only,0.7864057476949096,0.9482190449932385,0.7075298612359505,0.9369136201876416,0.5666666666666667,0.6623376623376623,0.6107784431137725,0.9723502304147466,0.05392710057619269,153,78,117,2743,srilanka_calibrated,9.9,0.08735037204788094,0.912649627952119
4_brazil_finetuned,0.6386451350123258,0.938181889794793,0.6599006768477148,0.922355224846328,0.7111111111111111,0.5423728813559322,0.6153846153846154,0.9425735554767812,0.06874939523778795,192,162,78,2659,srilanka_calibrated,9.9,0.08735037204788094,0.912649627952119
