roc_auc,pr_auc,brier,threshold,accuracy,sensitivity,specificity,ppv,npv,balanced_accuracy,tp,fp,fn,tn,tier,n_features,model
0.7473544973544973,0.4567377973098758,0.13722336506972815,0.09714838546228026,0.4521452145214521,0.9047619047619048,0.3333333333333333,0.2626728110599078,0.9302325581395349,0.6190476190476191,57,160,6,80,A_CBC,5,lgbm
0.7481481481481482,0.4602036642124884,0.1375715575502397,0.10365487821530134,0.48184818481848185,0.9047619047619048,0.37083333333333335,0.27403846153846156,0.9368421052631579,0.6377976190476191,57,151,6,89,B_+demographics,7,lgbm
0.8185846560846561,0.6764991184845124,0.11414193553127076,0.08898929842040047,0.5346534653465347,0.9047619047619048,0.4375,0.296875,0.9459459459459459,0.6711309523809523,57,135,6,105,C_+symptoms,16,lgbm
0.8193121693121693,0.6719767583914614,0.11463804490823691,0.09509124178664867,0.5643564356435643,0.9047619047619048,0.475,0.3114754098360656,0.95,0.6898809523809524,57,126,6,114,D_+fever_day,17,lgbm
0.874074074074074,0.7311481981839333,0.10401316871348258,0.13226801975423016,0.693069306930693,0.9047619047619048,0.6375,0.3958333333333333,0.9622641509433962,0.7711309523809524,57,87,6,153,E_+organ_labs,20,lgbm
0.7316137566137566,0.42805505262105065,0.14728424036886392,0.13837615696340208,0.41914191419141916,0.9047619047619048,0.2916666666666667,0.2511013215859031,0.9210526315789473,0.5982142857142857,57,170,6,70,A_CBC,5,logreg
0.7219576719576719,0.4218028350632993,0.14903161171532117,0.1427759571910984,0.40924092409240925,0.9047619047619048,0.2791666666666667,0.24782608695652175,0.9178082191780822,0.5919642857142857,57,173,6,67,B_+demographics,7,logreg
0.7748677248677249,0.6047810092712717,0.12340195863437045,0.10921913734691878,0.3696369636963696,0.9047619047619048,0.22916666666666666,0.23553719008264462,0.9016393442622951,0.5669642857142857,57,185,6,55,C_+symptoms,16,logreg
0.7715608465608466,0.598477313241903,0.1239227314234579,0.11241749081893372,0.39933993399339934,0.9047619047619048,0.26666666666666666,0.2446351931330472,0.9142857142857143,0.5857142857142857,57,176,6,64,D_+fever_day,17,logreg
0.8097883597883598,0.6609252918089734,0.1151511673700788,0.10500086540038193,0.38283828382838286,0.9047619047619048,0.24583333333333332,0.23949579831932774,0.9076923076923077,0.575297619047619,57,181,6,59,E_+organ_labs,20,logreg
