model,threshold,roc_auc,pr_auc,accuracy,recall,precision,f1,specificity,brier,tp,fp,fn,tn
BASELINE_persistence,0.5,0.9213483098953842,0.757719304354606,0.9587908790879088,0.8686116283881647,0.8504000810290692,0.8594093863554941,0.9740849914026037,0.04120912091209121,8396,1477,1270,55517
BASELINE_climatology,0.16666666666666666,0.7462939214723878,0.4039761972528534,0.8682418241824182,0.3334367887440513,0.5793636527053748,0.4232713901109725,0.9589430466364881,0.12028071062180296,3223,2340,6443,54654
LightGBM,0.4556610360270078,0.9914653624481553,0.9599880707775555,0.9656615661566157,0.904510655907304,0.8648728855475319,0.8842477876106195,0.9760325648313858,0.025539474873386588,8743,1366,923,55628
XGBoost,0.6023760703760164,0.9913559903986466,0.9589281093295768,0.9647764776477648,0.9064763087109455,0.85851459925534,0.8818438003220612,0.9746639997192686,0.02796056866645813,8762,1444,904,55550
