model,roc_auc,pr_auc,accuracy,recall,precision,f1,specificity,brier
LightGBM,0.9829454578610456,0.9226967146735863,0.9544206773618539,0.8625198098256736,0.8116068099913011,0.8362891350278507,0.9687603033300363,0.032529805858726744
PyTorch_LSTM,0.9810307488924003,0.9130264771733579,0.9525311942959002,0.8375594294770206,0.8156913183279743,0.8264807454225581,0.9704706561160568,0.07334812730550766
BASELINE_persistence,0.886208798436428,0.6152387033218419,0.932620320855615,0.8226360274696249,0.7187860604661898,0.7672127109249908,0.9497815694032311,0.06737967914438503
BASELINE_climatology,0.7461537717960334,0.4248367181956938,0.8672014260249554,0.016772319070258848,0.9621212121212122,0.03296988577362409,0.9998969666996373,0.11260845161053754
Ensemble_GBM+LSTM,0.984076728664737,0.9242941545071902,0.9555971479500891,0.8522187004754358,0.8246645367412141,0.8382152367344288,0.9717276623804814,0.03904346875842874
