bin,n,predicted,observed
0,24744,3.4838538611441744e-05,0.00012124151309408342
1,14135,0.0006921050909649043,0.000636717368234878
2,4759,0.003578849151328919,0.0014708972473208657
3,5495,0.015110968584571343,0.00746132848043676
4,6223,0.09844198636443735,0.07970432267395147
5,5632,0.6430487688433858,0.6178977272727273
6,5672,0.9947148293007284,0.9925952045133991
