,hematology_1523,vitals_1003,bd_structured,bd_comprehensive
hematology_1523,0.6083059310680794,0.9261724588938715,0.9477019893893276,0.8816806006966346
vitals_1003,0.5635580319084156,0.9999906576980568,0.9639129871232743,0.9999758949986141
bd_structured,0.5257347866682905,0.9548439835575486,0.9894429620491917,0.9931943546086753
bd_comprehensive,0.6074097755044046,0.99929932735426,0.9511993992947076,1.0
